# Instance: p_09.dat
# Objective value: 15141
y[1] 1
y[2] 1
y[3] 1
y[4] 0
y[5] 0
y[6] 0
y[7] 1
y[8] 0
y[9] 0
y[10] 1
x[1,1] 0
x[1,2] 0
x[1,3] 0
x[1,4] 0
x[1,5] 0
x[1,6] 1
x[1,7] 0
x[1,8] 0
x[1,9] 0
x[1,10] 0
x[1,11] 0
x[1,12] 1
x[1,13] 1
x[1,14] 0
x[1,15] 1
x[1,16] 1
x[1,17] 1
x[1,18] 1
x[1,19] 0
x[1,20] 0
x[1,21] 0
x[1,22] 0
x[1,23] 0
x[1,24] 0
x[1,25] 0
x[1,26] 0
x[1,27] 0
x[1,28] 0
x[1,29] 0
x[1,30] 0
x[1,31] 0
x[1,32] 0
x[1,33] 0
x[1,34] 1
x[1,35] 0
x[1,36] 0
x[1,37] 0
x[1,38] 1
x[1,39] 0
x[1,40] 0
x[1,41] 0
x[1,42] 0
x[1,43] 0
x[1,44] 0
x[1,45] 0
x[1,46] 0
x[1,47] 0
x[1,48] 1
x[1,49] 0
x[1,50] 1
x[2,1] 0
x[2,2] 0
x[2,3] 1
x[2,4] 0
x[2,5] 1
x[2,6] 0
x[2,7] 0
x[2,8] 0
x[2,9] 0
x[2,10] 0
x[2,11] 0
x[2,12] 0
x[2,13] 0
x[2,14] 1
x[2,15] 0
x[2,16] 0
x[2,17] 0
x[2,18] 0
x[2,19] 0
x[2,20] 0
x[2,21] 0
x[2,22] 0
x[2,23] 0
x[2,24] 0
x[2,25] 0
x[2,26] 1
x[2,27] 1
x[2,28] 1
x[2,29] 0
x[2,30] 0
x[2,31] 0
x[2,32] 0
x[2,33] 1
x[2,34] 0
x[2,35] 1
x[2,36] 0
x[2,37] 0
x[2,38] 0
x[2,39] 0
x[2,40] 0
x[2,41] 1
x[2,42] 0
x[2,43] 1
x[2,44] 0
x[2,45] 0
x[2,46] 1
x[2,47] 0
x[2,48] 0
x[2,49] 0
x[2,50] 0
