# Instance: p_59.dat
# Objective value: 1e+40
y[1] 0
y[2] 0
y[3] 1
y[4] 0
y[5] 1
y[6] 0
y[7] 1
y[8] 0
y[9] 1
y[10] 0
y[11] 0
y[12] 0
y[13] 0
y[14] 1
y[15] 0
y[16] 0
y[17] 1
y[18] 1
y[19] 1
y[20] 1
y[21] 1
y[22] 0
y[23] 0
y[24] 1
y[25] 1
y[26] 1
y[27] 0
y[28] 0
y[29] 1
y[30] 0
x[1,1] 0
x[1,2] 0
x[1,3] 0
x[1,4] 0
x[1,5] 0
x[1,6] 0
x[1,7] 0
x[1,8] 0
x[1,9] 0
x[1,10] 0
x[1,11] 0
x[1,12] 0
x[1,13] 0
x[1,14] 0
x[1,15] 0
x[1,16] 0
x[1,17] 0
x[1,18] 0
x[1,19] 0
x[1,20] 0
x[1,21] 0
x[1,22] 0
x[1,23] 0
x[1,24] 0
x[1,25] 0
x[1,26] 0
x[1,27] 0
x[1,28] 0
x[1,29] 0
x[1,30] 0
x[1,31] 0
x[1,32] 0
x[1,33] 0
x[1,34] 0
x[1,35] 0
x[1,36] 0
x[1,37] 0
x[1,38] 0
x[1,39] 0
x[1,40] 0
x[1,41] 0
x[1,42] 0
x[1,43] 0
x[1,44] 0
x[1,45] 0
x[1,46] 0
x[1,47] 0
x[1,48] 0
x[1,49] 0
x[1,50] 0
x[1,51] 0
x[1,52] 0
x[1,53] 0
x[1,54] 0
x[1,55] 0
x[1,56] 0
x[1,57] 0
x[1,58] 0
x[1,59] 0
x[1,60] 0
x[1,61] 0
x[1,62] 0
x[1,63] 0
x[1,64] 0
x[1,65] 0
x[1,66] 0
x[1,67] 0
x[1,68] 0
x[1,69] 0
x[1,70] 0
x[1,71] 0
x[1,72] 0
x[1,73] 0
x[1,74] 0
x[1,75] 0
x[1,76] 0
x[1,77] 0
x[1,78] 0
x[1,79] 0
x[1,80] 0
x[1,81] 0
x[1,82] 0
x[1,83] 0
x[1,84] 0
x[1,85] 0
x[1,86] 0
x[1,87] 0
x[1,88] 0
x[1,89] 0
x[1,90] 0
x[1,91] 0
x[1,92] 0
x[1,93] 0
x[1,94] 0
x[1,95] 0
x[1,96] 0
x[1,97] 0
x[1,98] 0
x[1,99] 0
x[1,100] 0
x[1,101] 0
x[1,102] 0
x[1,103] 0
x[1,104] 0
x[1,105] 0
x[1,106] 0
x[1,107] 0
x[1,108] 0
x[1,109] 0
x[1,110] 0
x[1,111] 0
x[1,112] 0
x[1,113] 0
x[1,114] 0
x[1,115] 0
x[1,116] 0
x[1,117] 0
x[1,118] 0
x[1,119] 0
x[1,120] 0
x[1,121] 0
x[1,122] 0
x[1,123] 0
x[1,124] 0
x[1,125] 0
x[1,126] 0
x[1,127] 0
x[1,128] 0
x[1,129] 0
x[1,130] 0
x[1,131] 0
x[1,132] 0
x[1,133] 0
x[1,134] 0
x[1,135] 0
x[1,136] 0
x[1,137] 0
x[1,138] 0
x[1,139] 0
x[1,140] 0
x[1,141] 0
x[1,142] 0
x[1,143] 0
x[1,144] 0
x[1,145] 0
x[1,146] 0
x[1,147] 0
x[1,148] 0
x[1,149] 0
x[1,150] 0
x[1,151] 0
x[1,152] 0
x[1,153] 0
x[1,154] 0
x[1,155] 0
x[1,156] 0
x[1,157] 0
x[1,158] 0
x[1,159] 0
x[1,160] 0
x[1,161] 0
x[1,162] 0
x[1,163] 0
x[1,164] 0
x[1,165] 0
x[1,166] 0
x[1,167] 0
x[1,168] 0
x[1,169] 0
x[1,170] 0
x[1,171] 0
x[1,172] 0
x[1,173] 0
x[1,174] 0
x[1,175] 0
x[1,176] 0
x[1,177] 0
x[1,178] 0
x[1,179] 0
x[1,180] 0
x[1,181] 0
x[1,182] 0
x[1,183] 0
x[1,184] 0
x[1,185] 0
x[1,186] 0
x[1,187] 0
x[1,188] 0
x[1,189] 0
x[1,190] 0
x[1,191] 0
x[1,192] 0
x[1,193] 0
x[1,194] 0
x[1,195] 0
x[1,196] 0
x[1,197] 0
x[1,198] 0
x[1,199] 0
x[1,200] 0
x[2,1] 0
x[2,2] 0
x[2,3] 0
x[2,4] 0
x[2,5] 0
x[2,6] 0
x[2,7] 0
x[2,8] 0
x[2,9] 0
x[2,10] 0
x[2,11] 0
x[2,12] 0
x[2,13] 0
x[2,14] 0
x[2,15] 0
x[2,16] 0
x[2,17] 0
x[2,18] 0
x[2,19] 0
x[2,20] 0
x[2,21] 0
x[2,22] 0
x[2,23] 0
x[2,24] 0
x[2,25] 0
x[2,26] 0
x[2,27] 0
x[2,28] 0
x[2,29] 0
x[2,30] 0
x[2,31] 0
x[2,32] 0
x[2,33] 0
x[2,34] 0
x[2,35] 0
x[2,36] 0
x[2,37] 0
x[2,38] 0
x[2,39] 0
x[2,40] 0
x[2,41] 0
x[2,42] 0
x[2,43] 0
x[2,44] 0
x[2,45] 0
x[2,46] 0
x[2,47] 0
x[2,48] 0
x[2,49] 0
x[2,50] 0
x[2,51] 0
x[2,52] 0
x[2,53] 0
x[2,54] 0
x[2,55] 0
x[2,56] 0
x[2,57] 0
x[2,58] 0
x[2,59] 0
x[2,60] 0
x[2,61] 0
x[2,62] 0
x[2,63] 0
x[2,64] 0
x[2,65] 0
x[2,66] 0
x[2,67] 0
x[2,68] 0
x[2,69] 0
x[2,70] 0
x[2,71] 0
x[2,72] 0
x[2,73] 0
x[2,74] 0
x[2,75] 0
x[2,76] 0
x[2,77] 0
x[2,78] 0
x[2,79] 0
x[2,80] 0
x[2,81] 0
x[2,82] 0
x[2,83] 0
x[2,84] 0
x[2,85] 0
x[2,86] 0
x[2,87] 0
x[2,88] 0
x[2,89] 0
x[2,90] 0
x[2,91] 0
x[2,92] 0
x[2,93] 0
x[2,94] 0
x[2,95] 0
x[2,96] 0
x[2,97] 0
x[2,98] 0
x[2,99] 0
x[2,100] 0
x[2,101] 0
x[2,102] 0
x[2,103] 0
x[2,104] 0
x[2,105] 0
x[2,106] 0
x[2,107] 0
x[2,108] 0
x[2,109] 0
x[2,110] 0
x[2,111] 0
x[2,112] 0
x[2,113] 0
x[2,114] 0
x[2,115] 0
x[2,116] 0
x[2,117] 0
x[2,118] 0
x[2,119] 0
x[2,120] 0
x[2,121] 0
x[2,122] 0
x[2,123] 0
x[2,124] 0
x[2,125] 0
x[2,126] 0
x[2,127] 0
x[2,128] 0
x[2,129] 0
x[2,130] 0
x[2,131] 0
x[2,132] 0
x[2,133] 0
x[2,134] 0
x[2,135] 0
x[2,136] 0
x[2,137] 0
x[2,138] 0
x[2,139] 0
x[2,140] 0
x[2,141] 0
x[2,142] 0
x[2,143] 0
x[2,144] 0
x[2,145] 0
x[2,146] 0
x[2,147] 0
x[2,148] 0
x[2,149] 0
x[2,150] 0
x[2,151] 0
x[2,152] 0
x[2,153] 0
x[2,154] 0
x[2,155] 0
x[2,156] 0
x[2,157] 0
x[2,158] 0
x[2,159] 0
x[2,160] 0
x[2,161] 0
x[2,162] 0
x[2,163] 0
x[2,164] 0
x[2,165] 0
x[2,166] 0
x[2,167] 0
x[2,168] 0
x[2,169] 0
x[2,170] 0
x[2,171] 0
x[2,172] 0
x[2,173] 0
x[2,174] 0
x[2,175] 0
x[2,176] 0
x[2,177] 0
x[2,178] 0
x[2,179] 0
x[2,180] 0
x[2,181] 0
