# Instance: p_17.dat
# Objective value: 15384
y[1] 0
y[2] 0
y[3] 0
y[4] 0
y[5] 1
y[6] 1
y[7] 0
y[8] 1
y[9] 0
y[10] 0
y[11] 1
y[12] 0
y[13] 1
y[14] 1
y[15] 0
y[16] 1
y[17] 0
y[18] 0
y[19] 0
y[20] 0
x[1,1] 0
x[1,2] 0
x[1,3] 0
x[1,4] 0
x[1,5] 0
x[1,6] 0
x[1,7] 0
x[1,8] 0
x[1,9] 0
x[1,10] 0
x[1,11] 0
x[1,12] 0
x[1,13] 0
x[1,14] 0
x[1,15] 0
x[1,16] 0
x[1,17] 0
x[1,18] 0
x[1,19] 0
x[1,20] 0
x[1,21] 0
x[1,22] 0
x[1,23] 0
x[1,24] 0
x[1,25] 0
x[1,26] 0
x[1,27] 0
x[1,28] 0
x[1,29] 0
x[1,30] 0
x[1,31] 0
x[1,32] 0
x[1,33] 0
x[1,34] 0
x[1,35] 0
x[1,36] 0
x[1,37] 0
x[1,38] 0
x[1,39] 0
x[1,40] 0
x[1,41] 0
x[1,42] 0
x[1,43] 0
x[1,44] 0
x[1,45] 0
x[1,46] 0
x[1,47] 0
x[1,48] 0
x[1,49] 0
x[1,50] 0
x[2,1] 0
x[2,2] 0
x[2,3] 0
x[2,4] 0
x[2,5] 0
x[2,6] 0
x[2,7] 0
x[2,8] 0
x[2,9] 0
x[2,10] 0
x[2,11] 0
x[2,12] 0
x[2,13] 0
x[2,14] 0
x[2,15] 0
x[2,16] 0
x[2,17] 0
x[2,18] 0
x[2,19] 0
x[2,20] 0
x[2,21] 0
x[2,22] 0
x[2,23] 0
x[2,24] 0
x[2,25] 0
x[2,26] 0
x[2,27] 0
x[2,28] 0
x[2,29] 0
x[2,30] 0
x[2,31] 0
x[2,32] 0
x[2,33] 0
x[2,34] 0
x[2,35] 0
x[2,36] 0
x[2,37] 0
x[2,38] 0
x[2,39] 0
x[2,40] 0
x[2,41] 0
x[2,42] 0
x[2,43] 0
x[2,44] 0
x[2,45] 0
x[2,46] 0
x[2,47] 0
x[2,48] 0
x[2,49] 0
x[2,50] 0
x[3,1] 0
x[3,2] 0
x[3,3] 0
x[3,4] 0
x[3,5] 0
x[3,6] 0
x[3,7] 0
x[3,8] 0
x[3,9] 0
x[3,10] 0
x[3,11] 0
x[3,12] 0
x[3,13] 0
x[3,14] 0
x[3,15] 0
x[3,16] 0
x[3,17] 0
x[3,18] 0
x[3,19] 0
x[3,20] 0
x[3,21] 0
x[3,22] 0
x[3,23] 0
x[3,24] 0
x[3,25] 0
x[3,26] 0
x[3,27] 0
x[3,28] 0
x[3,29] 0
x[3,30] 0
x[3,31] 0
x[3,32] 0
x[3,33] 0
x[3,34] 0
x[3,35] 0
x[3,36] 0
x[3,37] 0
x[3,38] 0
x[3,39] 0
x[3,40] 0
x[3,41] 0
x[3,42] 0
x[3,43] 0
x[3,44] 0
x[3,45] 0
x[3,46] 0
x[3,47] 0
x[3,48] 0
x[3,49] 0
x[3,50] 0
x[4,1] 0
x[4,2] 0
x[4,3] 0
x[4,4] 0
x[4,5] 0
x[4,6] 0
x[4,7] 0
x[4,8] 0
x[4,9] 0
x[4,10] 0
x[4,11] 0
x[4,12] 0
x[4,13] 0
x[4,14] 0
x[4,15] 0
x[4,16] 0
x[4,17] 0
x[4,18] 0
x[4,19] 0
x[4,20] 0
x[4,21] 0
x[4,22] 0
x[4,23] 0
x[4,24] 0
x[4,25] 0
x[4,26] 0
x[4,27] 0
x[4,28] 0
x[4,29] 0
x[4,30] 0
x[4,31] 0
x[4,32] 0
x[4,33] 0
x[4,34] 0
x[4,35] 0
x[4,36] 0
x[4,37] 0
x[4,38] 0
x[4,39] 0
x[4,40] 0
x[4,41] 0
x[4,42] 0
x[4,43] 0
x[4,44] 0
x[4,45] 0
x[4,46] 0
x[4,47] 0
x[4,48] 0
x[4,49] 0
x[4,50] 0
x[5,1] 0
x[5,2] 0
x[5,3] 0
x[5,4] 0
x[5,5] 1
x[5,6] 0
x[5,7] 1
x[5,8] 0
x[5,9] 0
x[5,10] 1
x[5,11] 0
x[5,12] 0
x[5,13] 1
x[5,14] 0
x[5,15] 0
x[5,16] 0
x[5,17] 0
x[5,18] 0
x[5,19] 0
x[5,20] 0
x[5,21] 0
x[5,22] 0
x[5,23] 0
x[5,24] 0
x[5,25] 0
x[5,26] 1
x[5,27] 0
x[5,28] 1
x[5,29] 0
x[5,30] 1
x[5,31] 0
x[5,32] 0
x[5,33] 0
x[5,34] 0
x[5,35] 0
x[5,36] 0
x[5,37] 0
x[5,38] 0
x[5,39] 0
x[5,40] 0
x[5,41] 0
x[5,42] 0
x[5,43] 0
x[5,44] 0
x[5,45] 1
x[5,46] 0
x[5,47] 0
x[5,48] 0
x[5,49] 0
x[5,50] 0
x[6,1] 0
x[6,2] 0
x[6,3] 0
x[6,4] 0
x[6,5] 0
x[6,6] 0
x[6,7] 0
x[6,8] 0
x[6,9] 0
x[6,10] 0
x[6,11] 0
x[6,12] 0
x[6,13] 0
x[6,14] 0
x[6,15] 0
x[6,16] 0
x[6,17] 1
x[6,18] 0
x[6,19] 0
x[6,20] 0
x[6,21] 0
x[6,22] 0
x[6,23] 0
x[6,24] 0
x[6,25] 0
x[6,26] 0
x[6,27] 0
x[6,28] 0
x[6,29] 0
x[6,30] 0
x[6,31] 0
x[6,32] 0
x[6,33] 0
x[6,34] 0
x[6,35] 0
x[6,36] 0
x[6,37] 0
x[6,38] 0
x[6,39] 0
x[6,40] 0
x[6,41] 0
x[6,42] 1
x[6,43] 0
x[6,44] 0
x[6,45] 0
x[6,46] 0
x[6,47] 0
x[6,48] 0
x[6,49] 0
x[6,50] 0
x[7,1] 0
x[7,2] 0
x[7,3] 0
x[7,4] 0
x[7,5] 0
x[7,6] 0
x[7,7] 0
x[7,8] 0
x[7,9] 0
x[7,10] 0
x[7,11] 0
x[7,12] 0
x[7,13] 0
x[7,14] 0
x[7,15] 0
x[7,16] 0
x[7,17] 0
x[7,18] 0
x[7,19] 0
x[7,20] 0
x[7,21] 0
x[7,22] 0
x[7,23] 0
x[7,24] 0
x[7,25] 0
x[7,26] 0
x[7,27] 0
x[7,28] 0
x[7,29] 0
x[7,30] 0
x[7,31] 0
x[7,32] 0
x[7,33] 0
x[7,34] 0
x[7,35] 0
x[7,36] 0
x[7,37] 0
x[7,38] 0
x[7,39] 0
x[7,40] 0
x[7,41] 0
x[7,42] 0
x[7,43] 0
x[7,44] 0
x[7,45] 0
x[7,46] 0
x[7,47] 0
x[7,48] 0
x[7,49] 0
x[7,50] 0
x[8,1] 0
x[8,2] 0
x[8,3] 1
x[8,4] 0
x[8,5] 0
x[8,6] 0
x[8,7] 0
x[8,8] 0
x[8,9] 1
x[8,10] 0
x[8,11] 0
x[8,12] 0
x[8,13] 0
x[8,14] 1
x[8,15] 0
x[8,16] 0
x[8,17] 0
x[8,18] 0
x[8,19] 0
x[8,20] 0
x[8,21] 0
x[8,22] 0
x[8,23] 0
x[8,24] 0
x[8,25] 0
x[8,26] 0
x[8,27] 1
x[8,28] 0
x[8,29] 0
x[8,30] 0
x[8,31] 0
x[8,32] 0
x[8,33] 0
x[8,34] 0
x[8,35] 0
x[8,36] 1
x[8,37] 0
x[8,38] 0
x[8,39] 0
