# Instance: p_50.dat
# Objective value: 9438
y[1] 1
y[2] 0
y[3] 1
y[4] 1
y[5] 0
y[6] 1
y[7] 0
y[8] 0
y[9] 1
y[10] 1
x[1,1] 0
x[1,2] 0
x[1,3] 0
x[1,4] 1
x[1,5] 0
x[1,6] 0
x[1,7] 0
x[1,8] 0
x[1,9] 0
x[1,10] 0
x[1,11] 0
x[1,12] 0
x[1,13] 0
x[1,14] 0
x[1,15] 0
x[1,16] 0
x[1,17] 0
x[1,18] 0
x[1,19] 0
x[1,20] 0
x[1,21] 0
x[1,22] 1
x[1,23] 1
x[1,24] 0
x[1,25] 1
x[1,26] 0
x[1,27] 0
x[1,28] 0
x[1,29] 0
x[1,30] 0
x[1,31] 0
x[1,32] 0
x[1,33] 0
x[1,34] 0
x[1,35] 0
x[1,36] 0
x[1,37] 0
x[1,38] 0
x[1,39] 1
x[1,40] 0
x[1,41] 1
x[1,42] 0
x[1,43] 0
x[1,44] 0
x[1,45] 0
x[1,46] 0
x[1,47] 0
x[1,48] 0
x[1,49] 0
x[1,50] 0
x[1,51] 0
x[1,52] 0
x[1,53] 0
x[1,54] 0
x[1,55] 1
x[1,56] 1
x[1,57] 0
x[1,58] 0
x[1,59] 0
x[1,60] 0
x[1,61] 0
x[1,62] 0
x[1,63] 0
x[1,64] 0
x[1,65] 0
x[1,66] 0
x[1,67] 1
x[1,68] 0
x[1,69] 0
x[1,70] 0
x[1,71] 0
x[1,72] 1
x[1,73] 1
x[1,74] 1
x[1,75] 1
x[1,76] 0
x[1,77] 0
x[1,78] 0
x[1,79] 0
x[1,80] 0
x[1,81] 0
x[1,82] 0
x[1,83] 0
x[1,84] 0
x[1,85] 0
x[1,86] 0
x[1,87] 0
x[1,88] 0
x[1,89] 0
x[1,90] 0
x[1,91] 0
x[1,92] 0
x[1,93] 0
x[1,94] 0
x[1,95] 0
x[1,96] 0
x[1,97] 0
x[1,98] 0
x[1,99] 0
x[1,100] 0
x[2,1] 0
x[2,2] 0
x[2,3] 0
x[2,4] 0
x[2,5] 0
x[2,6] 0
x[2,7] 0
x[2,8] 0
x[2,9] 0
x[2,10] 0
x[2,11] 0
x[2,12] 0
x[2,13] 0
x[2,14] 0
x[2,15] 0
x[2,16] 0
x[2,17] 0
x[2,18] 0
x[2,19] 0
x[2,20] 0
x[2,21] 0
x[2,22] 0
x[2,23] 0
x[2,24] 0
x[2,25] 0
x[2,26] 0
x[2,27] 0
x[2,28] 0
x[2,29] 0
x[2,30] 0
x[2,31] 0
x[2,32] 0
x[2,33] 0
x[2,34] 0
x[2,35] 0
x[2,36] 0
x[2,37] 0
x[2,38] 0
x[2,39] 0
x[2,40] 0
x[2,41] 0
x[2,42] 0
x[2,43] 0
x[2,44] 0
x[2,45] 0
x[2,46] 0
x[2,47] 0
x[2,48] 0
x[2,49] 0
x[2,50] 0
x[2,51] 0
x[2,52] 0
x[2,53] 0
x[2,54] 0
x[2,55] 0
x[2,56] 0
x[2,57] 0
x[2,58] 0
x[2,59] 0
x[2,60] 0
x[2,61] 0
x[2,62] 0
x[2,63] 0
x[2,64] 0
x[2,65] 0
x[2,66] 0
x[2,67] 0
x[2,68] 0
x[2,69] 0
x[2,70] 0
x[2,71] 0
x[2,72] 0
x[2,73] 0
x[2,74] 0
x[2,75] 0
x[2,76] 0
x[2,77] 0
x[2,78] 0
x[2,79] 0
x[2,80] 0
x[2,81] 0
x[2,82] 0
x[2,83] 0
x[2,84] 0
x[2,85] 0
x[2,86] 0
x[2,87] 0
x[2,88] 0
x[2,89] 0
x[2,90] 0
x[2,91] 0
